%time,field.header.seq,field.header.stamp,field.header.frame_id,field.spi1_miss,field.spi2_miss,field.uart_miss,field.objects0.slot,field.objects0.code,field.objects0.adc1,field.objects0.adc2,field.objects0.adc3,field.objects0.adc4,field.objects0.adc5,field.objects0.adc6,field.objects0.adc7,field.objects0.adc8,field.objects0.adc9,field.objects0.adc10,field.objects0.adc11,field.objects0.adc12,field.objects0.adc13,field.objects0.adc14,field.objects0.adc15,field.objects0.adc16
1448859421981374638,9823,1448859421981007135,,0,0,0,2,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859421996350621,9824,1448859421995982914,,0,0,0,1,1048575,0,0,0,0,0,0,0,0,596,577,581,0,0,0,0,0
1448859422011392679,9825,1448859422010995903,,0,0,0,0,1048575,0,0,0,0,0,0,0,0,600,580,584,0,0,0,0,0
1448859422026411720,9826,1448859422025996315,,0,0,0,48,1048575,0,0,0,0,0,0,0,0,597,577,581,0,0,0,0,0
1448859422041373688,9827,1448859422040980670,,0,0,0,47,1048575,0,0,0,0,0,0,0,0,596,576,580,0,0,0,0,0
1448859422056366581,9828,1448859422055975725,,0,0,0,46,1048575,0,0,0,0,0,0,0,0,596,577,580,0,0,0,0,0
1448859422071372531,9829,1448859422070978715,,0,0,0,45,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859422086307999,9830,1448859422085879925,,0,0,0,43,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859422101348417,9831,1448859422100956756,,0,0,0,42,1048575,0,0,0,0,0,0,0,0,595,576,579,0,0,0,0,0
1448859422116305790,9832,1448859422115937084,,0,0,0,41,1048575,0,0,0,0,0,0,0,0,596,576,580,0,0,0,0,0
1448859422131335758,9833,1448859422130942350,,0,0,0,40,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859422146352924,9834,1448859422145926056,,0,0,0,38,1048575,0,0,0,0,0,0,0,0,601,580,583,0,0,0,0,0
1448859422161263198,9835,1448859422160904180,,0,0,0,37,1048575,0,0,0,0,0,0,0,0,593,574,578,0,0,0,0,0
1448859422176318563,9836,1448859422175924382,,0,0,0,36,1048575,0,0,0,0,0,0,0,0,597,577,580,0,0,0,0,0
1448859422191134262,9837,1448859422190855109,,0,0,0,35,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859422206342943,9838,1448859422205943851,,0,0,0,34,1048575,0,0,0,0,0,0,0,0,600,580,584,0,0,0,0,0
1448859422221165026,9839,1448859422220809874,,0,0,0,32,1048575,0,0,0,0,0,0,0,0,592,574,578,0,0,0,0,0
1448859422236265513,9840,1448859422235866378,,0,0,0,31,1048575,0,0,0,0,0,0,0,0,597,577,580,0,0,0,0,0
1448859422251210869,9841,1448859422250822281,,0,0,0,30,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859422266009811,9842,1448859422265711141,,0,0,0,29,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859422280854201,9843,1448859422280671983,,0,0,0,27,1048575,0,0,0,0,0,0,0,0,593,575,578,0,0,0,0,0
1448859422296032757,9844,1448859422295677251,,0,0,0,26,1048575,0,0,0,0,0,0,0,0,596,576,580,0,0,0,0,0
1448859422310708571,9845,1448859422310605802,,0,0,0,25,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859422325765385,9846,1448859422325629394,,0,0,0,24,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859422340956340,9847,1448859422340667793,,0,0,0,22,1048575,0,0,0,0,0,0,0,0,595,576,579,0,0,0,0,0
1448859422355977308,9848,1448859422355645305,,0,0,0,21,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859422370994114,9849,1448859422370634949,,0,0,0,20,1048575,0,0,0,0,0,0,0,0,598,578,581,0,0,0,0,0
1448859422385965595,9850,1448859422385628915,,0,0,0,19,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
1448859422400939435,9851,1448859422400624030,,0,0,0,17,1048575,0,0,0,0,0,0,0,0,598,578,581,0,0,0,0,0
1448859422415940929,9852,1448859422415608710,,0,0,0,16,1048575,0,0,0,0,0,0,0,0,594,576,580,0,0,0,0,0
1448859422431876167,9853,1448859422431564801,,0,0,0,15,1048575,0,0,0,0,0,0,0,0,597,578,581,0,0,0,0,0
1448859422446905503,9854,1448859422446573147,,0,0,0,14,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
1448859422462029647,9855,1448859422461628849,,0,0,0,12,1048575,0,0,0,0,0,0,0,0,598,579,582,0,0,0,0,0
1448859422477021700,9856,1448859422476649086,,0,0,0,11,1048575,0,0,0,0,0,0,0,0,595,576,579,0,0,0,0,0
1448859422492038138,9857,1448859422491623511,,0,0,0,10,1048575,0,0,0,0,0,0,0,0,596,577,580,0,0,0,0,0
1448859422506996042,9858,1448859422506602032,,0,0,0,9,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
1448859422521991775,9859,1448859422521602970,,0,0,0,7,1048575,0,0,0,0,0,0,0,0,601,580,584,0,0,0,0,0
1448859422536958534,9860,1448859422536581780,,0,0,0,6,1048575,0,0,0,0,0,0,0,0,595,576,580,0,0,0,0,0
1448859422551976553,9861,1448859422551580241,,0,0,0,5,1048575,0,0,0,0,0,0,0,0,595,576,579,0,0,0,0,0
1448859422566980622,9862,1448859422566588058,,0,0,0,4,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859422581955063,9863,1448859422581565664,,0,0,0,2,1048575,0,0,0,0,0,0,0,0,601,580,584,0,0,0,0,0
1448859422596944723,9864,1448859422596564959,,0,0,0,1,1048575,0,0,0,0,0,0,0,0,595,577,580,0,0,0,0,0
1448859422612024258,9865,1448859422611634251,,0,0,0,0,1048575,0,0,0,0,0,0,0,0,594,575,579,0,0,0,0,0
1448859422626942850,9866,1448859422626549455,,0,0,0,49,1048575,0,0,0,0,0,0,0,0,599,579,583,0,0,0,0,0
1448859422641910396,9867,1448859422641521869,,0,0,0,47,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859422656898338,9868,1448859422656502615,,0,0,0,46,1048575,0,0,0,0,0,0,0,0,596,576,580,0,0,0,0,0
1448859422671889004,9869,1448859422671500954,,0,0,0,45,1048575,0,0,0,0,0,0,0,0,594,575,579,0,0,0,0,0
1448859422686800093,9870,1448859422686414342,,0,0,0,44,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859422701822802,9871,1448859422701433252,,0,0,0,43,1048575,0,0,0,0,0,0,0,0,600,580,583,0,0,0,0,0
1448859422716672110,9872,1448859422716342156,,0,0,0,41,1048575,0,0,0,0,0,0,0,0,598,578,581,0,0,0,0,0
1448859422731576293,9873,1448859422731327365,,0,0,0,40,1048575,0,0,0,0,0,0,0,0,593,574,578,0,0,0,0,0
1448859422746572240,9874,1448859422746322755,,0,0,0,39,1048575,0,0,0,0,0,0,0,0,599,579,582,0,0,0,0,0
1448859422761558543,9875,1448859422761311763,,0,0,0,38,1048575,0,0,0,0,0,0,0,0,600,579,583,0,0,0,0,0
