%time,field.header.seq,field.header.stamp,field.header.frame_id,field.poses0.name,field.poses0.position.x,field.poses0.position.y,field.poses0.position.z,field.poses0.orientation.x,field.poses0.orientation.y,field.poses0.orientation.z,field.poses0.orientation.w,field.poses0.pose_updated,field.poses1.name,field.poses1.position.x,field.poses1.position.y,field.poses1.position.z,field.poses1.orientation.x,field.poses1.orientation.y,field.poses1.orientation.z,field.poses1.orientation.w,field.poses1.pose_updated,field.poses2.name,field.poses2.position.x,field.poses2.position.y,field.poses2.position.z,field.poses2.orientation.x,field.poses2.orientation.y,field.poses2.orientation.z,field.poses2.orientation.w,field.poses2.pose_updated
1448859421309389316,25210,1448859421309025959,,sensor,-0.879864318848,0.0121386219263,0.212577827454,-0.000572719538136,-0.00864916412869,0.00665629992133,0.999940277028,1,emitter,0.860000788248,0.164443707423,0.1914160393,0.00439878655473,-0.0450094856812,0.426373985107,0.903415752409,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421319365892,25211,1448859421319016206,,sensor,-0.879889892578,0.0121270856857,0.212588939667,-0.00044982187195,-0.00852759744447,0.00651898927979,0.999942288595,1,emitter,0.859671348096,0.164723555336,0.191615943292,0.00343330277158,-0.0406958979029,0.421283322623,0.906009060885,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421329295173,25212,1448859421328926731,,sensor,-0.87988381958,0.0121094660759,0.212611236572,-0.000605209444262,-0.00847247026199,0.00640563286889,0.999943407817,1,emitter,0.860099573491,0.164586220181,0.191572920416,0.00323839426694,-0.0414064329665,0.42518745414,0.904151894846,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421339232023,25213,1448859421338872214,,sensor,-0.879881454468,0.0121099268198,0.212626831055,-0.000554290851735,-0.00854439363162,0.00635815567705,0.999943128361,1,emitter,0.859540503747,0.164819779853,0.191497411123,0.010714949568,-0.0389174083202,0.42135906467,0.9059951235,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421349376266,25214,1448859421349001236,,sensor,-0.879965866089,0.0121325945258,0.21262853241,-0.000444092288291,-0.00810856166809,0.00621898104402,0.999947687774,1,emitter,0.860317145094,0.164677599863,0.191624245651,0.00376020294464,-0.0410485250465,0.425141201206,0.904187944237,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421359403180,25215,1448859421359046375,,sensor,-0.879811843872,0.0121991721392,0.212472240448,-0.000724772100433,-0.00682168161806,0.00647437103283,0.999955509953,1,emitter,0.85967899164,0.164725923926,0.191324114014,0.0079678185101,-0.0386715624458,0.420157467141,0.906591819361,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421370947216,25216,1448859421370550874,,sensor,-0.879490310669,0.0119950164557,0.212240947723,-0.00274437795245,-0.00721980017548,0.0043511531076,0.999960704399,1,emitter,0.859813487591,0.164464344854,0.19121946358,0.00967282691266,-0.0406665503931,0.424333925197,0.904540429182,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421380622474,25217,1448859421380287621,,sensor,-0.87980809021,0.0122157104015,0.212507991791,-0.00120911040243,-0.00708125690281,0.00629582023468,0.999954377209,1,emitter,0.859537068846,0.164319587344,0.191635036448,0.00998558978129,-0.045789945446,0.428562039729,0.902296041771,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421390580447,25218,1448859421390216171,,sensor,-0.879733154297,0.0121910867691,0.212434146881,-0.000790697643999,-0.00690114604868,0.00658000535599,0.999954225207,1,emitter,0.859829842033,0.164473548156,0.191268165937,0.00997494457467,-0.0401850946407,0.424930725124,0.904278462364,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
1448859421399166014,25219,1448859421398822936,,sensor,-0.879886062622,0.0121218454242,0.212586345673,-0.000468377029664,-0.00870961990076,0.00657315666328,0.999940356599,1,emitter,0.859387766182,0.164061973887,0.191038019783,0.00961686159849,-0.0429421353468,0.427903219207,0.902752637203,1,quad97,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
